address,bank,body,amount
AD-KOTAKB-T,Kotak Mahindra Bank,"Rs.1,2,610.44 spent from Kotak Mahindra Bank A/c xxxx8897 via NETBANK on 25/08/2025. Ref 114516441307. Avl bal: Rs. 3,0,442.66.",12610.44
VK-SBIINB-S,State Bank of India,"₹4,866.62 spent from State Bank of India A/c XX3286 via IMPS on 07-08-25. Ref 620993410632. Bal ₹ 8,2,187.40.",4866.62
AD-AXISBK-S,Axis Bank,"INR3,668.63 purchase from Axis Bank A/c xxxx3501 via NEFT on 10-Jun-2025. Ref I07140K36FAOPRMO.",3668.63
BZ-HDFCBK-T,HDFC Bank,"INR703.87 CR to your HDFC Bank A/c XX*8761 on 18-Jun-2025. Ref 666476687180. Bal INR 12,3,491.85.",703.87
VK-INDUSUPI-T,IndusInd Bank,"₹2,880.56 purchase from IndusInd Bank A/c XX*1853 via IMPS on 19-06-25. Ref BJ7SOYGY21JMAS4.",2880.56
AD-HDFCBK-T,HDFC Bank,"Rs.4,3,883.82 CR to your HDFC Bank A/c XX3390 on 14/08/2025. Ref 743964883225. Avail bal Rs.7,6,278.04.",43883.82
MD-PNBSMS-I,Punjab National Bank,"₹1,0,234.81 added to your Punjab National Bank A/c XX*9208 on 07-07-25. Ref PVOEO37PHANHDT4R. Bal ₹ 13,1,227.71.",10234.81
AD-KOTAKB-S,Kotak Mahindra Bank,"Txn alert: Rs.125.83 spent on Card linked to Kotak Mahindra Bank A/c XX*6355 at Zomato on 18-07-25. Ref 720915169858. Bal Rs. 4,4,065.58.",125.83
VK-YESUPI-T,YES Bank,Txn alert: INR371.04 purchase on Card linked to YES Bank A/c XX*2098 at HP Fuel on 07-Aug-2025. Ref 603744698954.,371.04
VK-KOTAKB-T,Kotak Mahindra Bank,Rs.142.58 credited to Kotak Mahindra Bank A/c XX5999 on 14-Jul-2025 via NEFT. Ref 931543203472.,142.58
AD-BOBMSG-T,Bank of Baroda,BOB Alert: Rs.227.35 CR to Bank of Baroda A/c XX9804 on 08-08-25 via NEFT. Ref 914955532019.,227.35
VK-BOBUPI-S,Bank of Baroda,₹82.97 added to Bank of Baroda A/c XX7865 on 06/07/2025 via IMPS. Ref X8FMW4VCHRHBKGK9.,82.97
VK-BOBUPI-I,Bank of Baroda,"Dear Customer, ₹4,796.81 CR to your Bank of Baroda A/c xxxx1805 on 17-08-25. Ref Y42DJ43DGAMRH4F.",4796.81
VK-KOTAKB,Kotak Mahindra Bank,"INR3,194.29 credited to your Kotak Mahindra Bank A/c XX*4427 on 12-Jul-2025. Ref 360498393495.",3194.29
VK-SBIINB,State Bank of India,"Txn alert: INR1,3,635.63 debited on Card linked to State Bank of India A/c **2567 at JioMart on 27/06/2025. Ref SQWHBEF46RF7BN. Avail bal INR14,8,213.17.",13635.63
AD-SBIUPI-S,State Bank of India,"Rs.1,119.98 received to your State Bank of India A/c XX7811 on 14-Jul-2025. Ref 623166295059.",1119.98
MD-PNBSMS,Punjab National Bank,"Tx Alert: INR3,550.35 spent from Punjab National Bank A/c XX*2774 via NETBANK on 15/07/2025. Ref 579360930109.",3550.35
VK-AXISUPI-T,Axis Bank,"Tx Alert: Txn alert: Rs.4,970.13 purchase on Card linked to Axis Bank A/c **7283 at Spencer's on 31-Jul-2025. Ref 831250946489. Avail bal Rs.13,8,511.02.",4970.13
AD-INDUSB-S,IndusInd Bank,ATM cash paid: INR162.40 from A/c **6909 on 23-Jun-2025. Ref 512802135350.,162.4
VK-YESUPI-T,YES Bank,"YES Alert: INR3,2,466.11 received to YES Bank A/c XX9693 on 14/07/2025 via IMPS. Ref CA75LD7M08LCWL6Q.",32466.11
VM-IDFCUPI-I,IDFC FIRST Bank,₹378.30 credited to IDFC FIRST Bank A/c XX8201 on 23-Jun-2025 via NEFT. Ref CYH207X887L.,378.3
AD-PNBSMS-T,Punjab National Bank,"Dear Customer, Rs.1,9,834.76 CR to your Punjab National Bank A/c XX4087 on 08/06/2025. Ref V8MO2TPX4LP.",19834.76
